record_id,city,transit_node_id,node_type,node_latitude,node_longitude,trip_date,time_of_day,day_type,weather_condition,distance_to_final_destination_km,avg_wait_time_min,transit_headway_min,crowding_index,congestion_index_node,last_mile_fare_inr,walk_time_min,alt_mode_availability_score,app_cab_wait_time_min,safety_perception_score,last_mile_infra_score,previous_negative_experience,commuter_age_group,commuter_gender,commuter_income_bracket,trip_purpose,trip_satisfaction_score,mode_chosen_last_mile,switched_to_private_vehicle
TRIP_000016,Mumbai,NODE_0117,Bus Terminal,19.14918,72.84837,2025-05-12,Night (20-23),Weekday,Clear,1.16,7.31,9.75,0.468,0.27,29.6,13.1,7.44,3.56,7.55,0.762,0,45-54,Male,Middle,Work Commute,7.88,Feeder Bus,0
TRIP_000017,Gurugram,NODE_0016,Metro Station,28.5238,76.92434,2025-09-14,Midday (10-16),Weekday,Light Rain,2.88,1.45,7.66,0.285,0.153,51.7,28.3,6.2,5.63,5.65,0.807,0,25-34,Male,Low,Work Commute,8.0,Feeder Bus,0
TRIP_000018,Bengaluru,NODE_0088,Bus Terminal,12.97982,77.62346,2025-04-01,Morning Peak (7-10),Weekday,Light Rain,5.59,9.68,15.11,0.46,0.421,83.8,45.8,8.06,7.55,6.49,0.803,0,55+,Female,Middle,Other,5.71,Auto-Rickshaw,0
TRIP_000019,Pune,NODE_0003,Metro Station,18.43979,73.73513,2025-11-05,Midday (10-16),Weekend,Cloudy,2.36,6.51,6.7,0.391,0.287,40.8,29.6,7.12,3.35,4.41,0.045,0,55+,Male,Lower-Middle,Education,7.41,Auto-Rickshaw,0
TRIP_000020,Pune,NODE_0045,Bus Terminal,18.54137,73.99911,2025-12-14,Morning Peak (7-10),Weekend,Light Rain,4.12,15.71,12.91,0.848,0.384,73.2,49.8,5.27,9.22,7.79,0.533,1,25-34,Female,Middle,Work Commute,5.53,App-based Cab/Bike,0
TRIP_000021,Mumbai,NODE_0117,Bus Terminal,19.14918,72.84837,2025-04-18,Morning Peak (7-10),Weekday,Clear,2.03,10.05,9.35,0.478,0.317,35.5,18.7,8.96,4.18,9.52,0.762,1,25-34,Female,High,Work Commute,6.98,App-based Cab/Bike,0
TRIP_000022,Mumbai,NODE_0021,Bus Terminal,18.96385,72.8859,2025-07-24,Morning Peak (7-10),Weekday,Clear,7.77,7.33,14.76,0.284,0.259,94.5,60.7,3.07,4.99,9.19,0.951,0,35-44,Male,Low,Work Commute,6.6,E-Rickshaw,0
TRIP_000023,Pune,NODE_0046,Metro Station,18.49488,73.96376,2025-10-28,Morning Peak (7-10),Weekday,Clear,1.0,12.62,11.8,0.69,0.492,38.7,13.0,1.75,7.8,5.41,0.444,1,25-34,Male,Middle,Shopping/Errand,4.56,Auto-Rickshaw,0
TRIP_000024,Bengaluru,NODE_0027,Metro Station,12.90542,77.65533,2025-01-10,Morning Peak (7-10),Weekday,Clear,2.63,15.5,11.57,0.629,0.672,56.4,26.4,7.49,2.0,6.53,0.736,1,35-44,Male,Lower-Middle,Education,6.04,Private Vehicle (Own),1
TRIP_000025,Bengaluru,NODE_0088,Bus Terminal,12.97982,77.62346,2025-09-15,Night (20-23),Weekday,Light Rain,0.57,6.84,10.95,0.308,0.245,22.4,6.2,7.57,8.18,7.15,0.803,0,25-34,Female,Middle,Education,8.26,Walk,0
TRIP_000026,Pune,NODE_0056,Metro Station,18.6408,73.77225,2025-10-27,Evening Peak (17-20),Weekday,Clear,3.12,18.68,13.7,0.542,0.75,67.5,35.2,8.61,11.4,6.19,0.542,0,25-34,Male,High,Work Commute,4.23,Private Vehicle (Own),1
TRIP_000027,Gurugram,NODE_0072,Metro Station,28.42507,77.11163,2025-11-14,Night (20-23),Weekday,Extreme Heat,0.34,17.42,3.57,0.704,0.702,19.4,3.9,8.25,10.02,4.38,0.702,1,25-34,Female,Upper-Middle,Work Commute,6.96,Private Vehicle (Own),1
TRIP_000028,Bengaluru,NODE_0114,Bus Terminal,12.99173,77.48023,2025-03-13,Morning Peak (7-10),Weekday,Clear,2.15,15.94,3.53,0.827,0.794,50.0,18.9,6.89,7.77,8.36,0.812,0,45-54,Male,High,Shopping/Errand,4.85,Feeder Bus,0
TRIP_000029,Bengaluru,NODE_0063,Bus Terminal,12.98082,77.44163,2025-10-04,Night (20-23),Weekday,Light Rain,6.23,10.32,4.6,0.657,0.545,85.3,58.4,6.54,8.09,,0.622,0,35-44,Female,High,Shopping/Errand,4.89,Auto-Rickshaw,0
TRIP_000030,Delhi,NODE_0089,Metro Station,28.63988,77.06635,2025-10-14,Midday (10-16),Weekday,Cloudy,4.1,9.06,8.99,0.514,0.284,65.4,34.2,1.34,6.64,6.77,0.938,0,35-44,Female,High,Work Commute,7.99,Private Vehicle (Own),1
TRIP_000031,Hyderabad,NODE_0012,BRT Stop,17.49025,78.41116,2025-01-02,Morning Peak (7-10),Weekend,Clear,0.68,10.89,8.66,0.487,0.267,31.2,6.1,3.23,6.12,8.73,0.856,0,45-54,Female,Upper-Middle,Shopping/Errand,6.06,Feeder Bus,0
TRIP_000032,Delhi,NODE_0026,Metro Station,28.49966,77.34599,2025-09-15,Evening Peak (17-20),Weekday,Cloudy,5.23,14.86,7.53,0.545,0.696,78.8,68.6,5.69,2.92,3.89,0.236,0,45-54,Male,Lower-Middle,Leisure,6.97,Private Vehicle (Own),1
TRIP_000033,Bengaluru,NODE_0114,Bus Terminal,12.99173,77.48023,2025-08-17,Early Morning (5-7),Weekday,Fog,2.11,9.23,13.7,0.657,0.664,37.3,17.2,4.13,4.38,6.85,0.812,0,25-34,Male,High,Education,6.09,Private Vehicle (Own),1
TRIP_000034,Hyderabad,NODE_0104,BRT Stop,17.4081,78.4204,2025-12-20,Midday (10-16),Weekday,Fog,1.91,8.6,8.17,0.503,0.428,37.5,21.1,4.75,3.73,7.05,0.663,0,25-34,Male,Lower-Middle,Shopping/Errand,8.41,Auto-Rickshaw,0
TRIP_000035,Bengaluru,NODE_0079,Metro Station,12.90906,77.66356,2025-01-16,Evening Peak (17-20),Weekday,Clear,1.79,14.94,11.89,0.757,0.704,39.3,18.9,5.82,7.27,7.35,0.508,0,25-34,Female,Lower-Middle,Shopping/Errand,5.09,Private Vehicle (Own),1
TRIP_000036,Pune,NODE_0046,Metro Station,18.49488,73.96376,2025-12-19,Evening Peak (17-20),Weekday,Cloudy,1.67,9.43,10.06,0.72,0.529,43.6,21.9,2.68,6.17,6.36,0.444,1,35-44,Female,High,Work Commute,6.66,Private Vehicle (Own),1
TRIP_000037,Hyderabad,NODE_0024,Bus Terminal,17.27316,78.47381,2025-07-28,Midday (10-16),Weekday,Clear,0.94,11.96,11.64,0.655,0.768,24.8,12.6,3.6,5.67,6.25,0.48,1,25-34,Female,High,Work Commute,5.31,Private Vehicle (Own),1
TRIP_000038,Gurugram,NODE_0103,Bus Terminal,28.54027,77.16381,2025-04-11,Morning Peak (7-10),Weekday,Cloudy,1.6,18.22,9.03,0.983,0.885,46.5,20.9,5.14,6.37,3.99,0.47,0,45-54,Female,Lower-Middle,Work Commute,6.03,Private Vehicle (Own),1
TRIP_000039,Gurugram,NODE_0095,Bus Terminal,28.33963,76.90752,2025-05-22,Early Morning (5-7),Weekday,Clear,2.06,6.84,10.94,0.495,0.463,42.4,26.7,9.63,5.97,4.64,0.255,0,25-34,Male,High,Work Commute,7.58,App-based Cab/Bike,0
TRIP_000040,Mumbai,NODE_0030,Metro Station,18.92634,72.97516,2025-10-07,Late Night (23-5),Weekday,Extreme Heat,0.3,10.28,8.47,0.635,0.515,19.0,3.6,5.79,8.07,5.23,0.683,0,25-34,Male,Upper-Middle,Shopping/Errand,6.55,Feeder Bus,0
TRIP_000041,Delhi,NODE_0071,BRT Stop,28.59336,77.32834,2025-12-30,Morning Peak (7-10),Weekday,Cloudy,1.27,8.22,8.28,0.437,0.19,38.6,14.1,8.1,2.0,6.74,0.728,0,35-44,Male,Upper-Middle,Shopping/Errand,7.73,Auto-Rickshaw,0
TRIP_000042,Delhi,NODE_0075,Metro Station,28.55992,77.06205,2025-04-26,Morning Peak (7-10),Weekday,Clear,3.67,12.11,5.59,0.614,0.322,66.5,30.4,7.43,5.55,8.76,0.864,0,35-44,Male,Lower-Middle,Work Commute,6.11,Feeder Bus,0
TRIP_000043,Bengaluru,NODE_0058,BRT Stop,13.06061,77.67303,2025-12-26,Morning Peak (7-10),Weekday,Fog,2.05,20.64,12.28,0.417,0.414,48.3,17.6,4.88,8.68,6.41,0.722,0,25-34,Male,Middle,Medical,6.34,Auto-Rickshaw,0
TRIP_000044,Delhi,NODE_0112,Metro Station,28.50139,77.19225,2025-08-18,Night (20-23),Weekend,Light Rain,4.11,9.38,16.68,0.345,0.238,69.5,41.3,3.32,8.66,6.6,0.761,0,35-44,Male,Low,Medical,7.06,App-based Cab/Bike,0
TRIP_000045,Bengaluru,NODE_0015,Bus Terminal,12.891,77.48728,2025-03-12,Evening Peak (17-20),Weekday,Clear,0.5,7.99,9.72,0.526,0.22,33.7,7.1,3.65,11.25,5.5,0.343,0,45-54,Female,Middle,Work Commute,4.73,Private Vehicle (Own),1
TRIP_000046,Mumbai,NODE_0031,Railway Station,18.93662,72.91112,2025-08-07,Midday (10-16),Weekend,Heavy Rain,0.48,7.47,10.39,0.337,0.244,19.4,4.9,8.46,5.1,5.18,0.736,1,18-24,Male,Low,Work Commute,6.72,Feeder Bus,0
TRIP_000047,Hyderabad,NODE_0012,BRT Stop,17.49025,78.41116,2025-10-20,Late Night (23-5),Weekday,Cloudy,2.71,6.35,7.74,0.364,0.252,50.7,28.3,3.45,8.3,10.0,0.856,0,45-54,Female,Upper-Middle,Work Commute,7.29,Walk,0
TRIP_000048,Delhi,NODE_0084,Metro Station,28.61063,77.10791,2025-01-20,Early Morning (5-7),Weekday,Clear,1.12,4.06,11.34,0.211,0.02,25.0,15.3,0.0,2.0,5.78,0.334,0,25-34,Male,Low,Other,8.79,Walk,0
TRIP_000049,Mumbai,NODE_0078,Railway Station,19.12572,72.87136,2025-01-29,Night (20-23),Weekday,Clear,1.22,8.25,7.89,0.527,0.542,29.3,16.2,5.6,5.59,6.08,0.551,1,25-34,Male,Middle,Education,5.93,Private Vehicle (Own),1
TRIP_000050,Bengaluru,NODE_0119,Metro Station,12.96765,77.63039,2025-01-02,Early Morning (5-7),Weekday,Clear,1.6,6.51,7.4,0.476,0.436,29.4,17.7,3.67,5.76,5.18,0.588,1,45-54,Female,Middle,Shopping/Errand,6.59,Feeder Bus,0
TRIP_000051,Bengaluru,NODE_0066,Bus Terminal,12.95884,77.68044,2025-07-28,Midday (10-16),Weekday,Clear,1.29,1.47,8.58,0.158,0.06,32.7,13.5,5.37,8.48,3.82,0.327,0,45-54,Male,High,Other,,Walk,0
TRIP_000052,Pune,NODE_0019,Railway Station,18.38997,73.815,2025-01-22,Early Morning (5-7),Weekday,Heavy Rain,1.74,12.71,13.17,0.44,0.479,35.9,22.6,4.53,7.87,5.12,0.575,0,35-44,Male,Middle,Shopping/Errand,5.65,Private Vehicle (Own),1
TRIP_000053,Mumbai,NODE_0055,Metro Station,19.17307,72.7287,2025-12-07,Late Night (23-5),Weekday,Clear,3.03,7.3,13.34,0.473,0.29,41.6,34.4,0.89,4.96,6.89,0.725,0,25-34,Female,Middle,Leisure,6.82,Auto-Rickshaw,0
TRIP_000054,Gurugram,NODE_0011,Metro Station,28.49558,77.10876,2025-02-16,Night (20-23),Weekday,Cloudy,10.23,12.8,12.34,0.602,0.851,103.6,90.0,2.68,5.32,4.52,0.163,0,25-34,Female,High,Work Commute,4.89,Private Vehicle (Own),1
TRIP_000055,Mumbai,NODE_0081,Railway Station,19.1949,72.97534,2025-01-27,Evening Peak (17-20),Weekend,Fog,1.3,21.15,11.21,0.82,0.783,38.3,13.2,3.36,3.95,1.34,0.366,1,25-34,Female,Middle,Work Commute,4.09,Private Vehicle (Own),1
TRIP_000056,Mumbai,NODE_0081,Railway Station,19.1949,72.97534,2025-04-05,Morning Peak (7-10),Weekday,Fog,4.81,18.94,6.01,0.58,0.77,82.3,54.0,3.66,8.38,3.23,0.366,1,35-44,Male,Low,Work Commute,3.64,Private Vehicle (Own),1
TRIP_000057,Gurugram,NODE_0103,Bus Terminal,28.54027,77.16381,2025-10-06,Morning Peak (7-10),Weekday,Heavy Rain,0.3,17.48,6.04,0.809,0.941,33.9,3.3,4.62,7.48,7.52,0.47,1,35-44,Female,Lower-Middle,Leisure,4.1,Private Vehicle (Own),1
TRIP_000058,Bengaluru,NODE_0041,Metro Station,12.83304,77.53058,2025-11-28,Midday (10-16),Weekday,Heavy Rain,1.91,10.43,11.3,0.387,0.392,41.0,17.1,8.13,2.0,8.98,0.829,0,55+,Female,Lower-Middle,Work Commute,7.51,Feeder Bus,0
TRIP_000059,Bengaluru,NODE_0038,Bus Terminal,12.97136,77.52861,2025-04-02,Morning Peak (7-10),Weekend,Fog,2.34,17.06,7.79,0.508,0.528,45.5,32.7,5.03,2.88,3.64,0.2,1,25-34,Male,Low,Work Commute,4.8,Private Vehicle (Own),1
TRIP_000060,Delhi,NODE_0009,Metro Station,28.56226,77.15009,2025-07-09,Early Morning (5-7),Weekend,Heavy Rain,1.27,11.59,14.78,0.401,0.267,28.9,17.1,3.07,6.08,5.36,0.414,0,35-44,Female,Upper-Middle,Leisure,5.39,Feeder Bus,0
TRIP_000061,Delhi,NODE_0050,BRT Stop,28.4805,77.34973,2025-10-10,Evening Peak (17-20),Weekday,Cloudy,1.77,12.34,10.31,0.459,0.383,52.0,19.8,7.33,7.79,5.92,0.43,1,35-44,Male,Middle,Work Commute,4.58,Auto-Rickshaw,0
TRIP_000062,Bengaluru,NODE_0058,BRT Stop,13.06061,77.67303,2025-10-18,Evening Peak (17-20),Weekday,Clear,2.12,8.01,7.7,0.575,0.434,52.8,23.9,4.96,,4.38,0.722,0,35-44,Male,Middle,Education,6.28,E-Rickshaw,0
TRIP_000063,Delhi,NODE_0091,Bus Terminal,28.67047,77.06271,2025-02-25,Night (20-23),Weekday,Clear,0.94,9.58,11.58,0.531,0.452,25.3,9.5,3.79,7.28,7.73,0.633,1,55+,Female,Middle,Work Commute,5.91,Private Vehicle (Own),1
TRIP_000064,Delhi,NODE_0091,Bus Terminal,28.67047,77.06271,2025-11-02,Midday (10-16),Weekday,Clear,2.83,10.32,12.01,0.648,0.505,39.5,31.4,4.11,4.43,8.67,0.633,0,45-54,Male,High,Work Commute,6.21,App-based Cab/Bike,0
TRIP_000065,Bengaluru,NODE_0017,BRT Stop,13.06497,77.72084,2025-11-13,Morning Peak (7-10),Weekend,Clear,2.63,10.68,11.91,0.538,0.351,52.8,23.8,4.23,6.05,7.07,0.682,0,18-24,Male,Middle,Work Commute,7.72,Private Vehicle (Own),1
TRIP_000066,Bengaluru,NODE_0035,Metro Station,13.02421,77.44369,2025-09-26,Midday (10-16),Weekday,Clear,1.98,3.43,13.9,0.329,0.117,41.3,18.3,8.32,5.75,7.11,0.838,0,45-54,Male,Upper-Middle,Leisure,8.31,Auto-Rickshaw,0
TRIP_000067,Bengaluru,NODE_0062,Railway Station,12.86037,77.45085,2025-07-12,Morning Peak (7-10),Weekend,Clear,1.87,9.24,11.94,0.582,0.402,40.0,19.7,4.82,6.43,6.11,0.455,0,55+,Female,Middle,Work Commute,7.21,Feeder Bus,0
TRIP_000068,Bengaluru,NODE_0041,Metro Station,12.83304,77.53058,2025-05-23,Evening Peak (17-20),Weekday,Cloudy,3.7,12.85,15.08,0.622,0.396,60.9,39.0,7.28,2.0,8.2,0.829,0,18-24,Male,Lower-Middle,Work Commute,4.91,Feeder Bus,0
TRIP_000069,Mumbai,NODE_0004,Metro Station,19.07923,72.74631,2025-11-21,Evening Peak (17-20),Weekend,Clear,3.37,16.47,12.82,0.64,0.589,55.8,42.7,3.3,14.08,6.87,0.434,1,35-44,Other,Middle,Shopping/Errand,6.36,Private Vehicle (Own),1
TRIP_000070,Mumbai,NODE_0102,Bus Terminal,19.20766,72.76354,2025-11-12,Morning Peak (7-10),Weekday,Clear,1.3,11.29,8.83,0.536,0.324,43.0,12.0,6.39,,8.7,0.875,0,35-44,Female,Middle,Work Commute,6.36,Walk,0
TRIP_000071,Bengaluru,NODE_0088,Bus Terminal,12.97982,77.62346,2025-07-09,Morning Peak (7-10),Weekday,Cloudy,4.9,11.45,8.36,0.654,0.341,88.3,48.0,8.44,6.13,7.85,0.803,0,25-34,Male,High,Work Commute,4.96,Walk,0
TRIP_000072,Bengaluru,NODE_0063,Bus Terminal,12.98082,77.44163,2025-09-28,Night (20-23),Weekday,Clear,2.69,12.18,8.85,0.53,0.507,48.2,28.3,5.51,4.18,8.56,0.622,0,45-54,Male,Upper-Middle,Education,6.34,App-based Cab/Bike,0
TRIP_000073,Gurugram,NODE_0039,Bus Terminal,28.5625,77.01756,2025-05-26,Midday (10-16),Weekday,Cloudy,1.8,3.82,11.26,0.133,0.212,34.7,18.8,5.41,6.31,8.94,0.823,0,45-54,Female,Low,Medical,7.47,E-Rickshaw,0
TRIP_000074,Mumbai,NODE_0102,Bus Terminal,19.20766,72.76354,2025-09-29,Midday (10-16),Weekend,Clear,4.93,2.91,8.74,0.364,0.327,74.4,43.1,6.24,4.18,7.84,0.875,0,18-24,Female,Lower-Middle,Leisure,7.26,Auto-Rickshaw,0
TRIP_000075,Delhi,NODE_0005,Metro Station,28.6318,77.24736,2025-02-02,Evening Peak (17-20),Weekday,Light Rain,0.44,9.7,8.74,0.469,0.128,35.3,4.6,4.23,6.02,4.23,0.414,0,18-24,Male,Middle,Work Commute,6.45,Auto-Rickshaw,0
TRIP_000076,Mumbai,NODE_0054,BRT Stop,18.94973,72.98911,2025-11-26,Evening Peak (17-20),Weekend,Extreme Heat,1.24,13.45,9.37,0.613,0.416,29.5,12.8,7.87,8.21,6.18,0.685,1,18-24,Male,Upper-Middle,Shopping/Errand,6.78,Private Vehicle (Own),1
TRIP_000077,Gurugram,NODE_0097,Metro Station,28.32853,77.17401,2025-07-08,Early Morning (5-7),Weekday,Clear,5.11,14.52,5.72,0.782,0.851,77.0,51.2,5.54,4.99,6.79,0.441,0,45-54,Male,Lower-Middle,Education,5.67,Feeder Bus,0
TRIP_000078,Delhi,NODE_0115,BRT Stop,28.5898,77.13342,2025-08-07,Evening Peak (17-20),Weekday,Heavy Rain,2.77,14.29,10.01,0.719,0.553,52.6,32.2,6.44,6.87,3.58,0.314,0,18-24,Male,Lower-Middle,Work Commute,6.73,E-Rickshaw,0
TRIP_000079,Mumbai,NODE_0031,Railway Station,18.93662,72.91112,2025-03-11,Night (20-23),Weekday,Extreme Heat,3.04,11.17,3.55,0.389,0.395,48.7,28.2,7.23,8.04,6.88,0.736,0,35-44,Male,Lower-Middle,Education,6.78,E-Rickshaw,0
TRIP_000080,Bengaluru,NODE_0079,Metro Station,12.90906,77.66356,2025-07-12,Early Morning (5-7),Weekday,Fog,2.07,15.95,12.38,0.598,0.494,35.0,23.3,5.86,7.86,3.87,0.508,0,35-44,Male,Low,Leisure,7.23,Private Vehicle (Own),1
TRIP_000081,Hyderabad,NODE_0023,BRT Stop,17.3231,78.56409,2025-01-02,Morning Peak (7-10),Weekend,Heavy Rain,1.09,15.46,8.89,0.503,0.577,41.9,12.8,5.99,6.21,4.26,0.405,0,25-34,Male,Upper-Middle,Shopping/Errand,4.21,Auto-Rickshaw,0
TRIP_000082,Pune,NODE_0014,Metro Station,18.44435,73.79433,2025-11-21,Evening Peak (17-20),Weekday,Cloudy,2.0,8.8,11.33,0.628,0.429,51.6,22.0,6.36,4.33,8.15,0.797,0,25-34,Female,Middle,Education,7.08,Auto-Rickshaw,0
TRIP_000083,Mumbai,NODE_0043,Metro Station,18.99102,72.95439,2025-10-01,Evening Peak (17-20),Weekday,Clear,3.53,22.43,3.0,0.979,0.988,76.9,36.8,6.87,9.79,7.06,0.742,0,45-54,Male,Upper-Middle,Work Commute,6.37,Walk,0
TRIP_000084,Bengaluru,NODE_0107,Metro Station,13.10381,77.63477,2025-06-15,Midday (10-16),Weekday,Clear,2.03,6.82,10.83,0.424,0.287,32.5,23.1,2.09,10.3,4.63,0.272,0,25-34,Male,Upper-Middle,Education,7.07,E-Rickshaw,0
TRIP_000085,Pune,NODE_0083,Bus Terminal,18.46851,73.92039,2025-11-02,Midday (10-16),Weekend,Clear,3.52,5.54,10.58,0.504,0.265,53.9,35.7,8.35,4.06,5.21,0.464,0,25-34,Male,High,Education,8.65,App-based Cab/Bike,0
TRIP_000086,Delhi,NODE_0059,Railway Station,28.68384,77.10946,2025-10-24,Evening Peak (17-20),Weekend,Clear,2.87,16.16,8.45,0.826,0.749,49.7,34.9,5.73,7.13,7.67,0.67,0,25-34,Male,Middle,Work Commute,4.58,Walk,0
TRIP_000087,Gurugram,NODE_0034,Bus Terminal,28.47734,77.08583,2025-02-13,Midday (10-16),Weekend,Fog,1.2,8.35,11.48,0.309,0.231,27.6,16.9,5.27,3.8,3.2,0.371,0,18-24,Male,Middle,Medical,5.59,Feeder Bus,0
TRIP_000088,Bengaluru,NODE_0017,BRT Stop,13.06497,77.72084,2025-01-20,Morning Peak (7-10),Weekday,Clear,2.87,12.57,8.88,0.583,0.301,58.1,28.2,3.22,4.88,5.13,0.682,1,25-34,Female,Middle,Other,8.23,Private Vehicle (Own),1
TRIP_000089,Gurugram,NODE_0033,Metro Station,28.31601,77.05648,2025-04-03,Morning Peak (7-10),Weekday,Cloudy,3.88,14.19,9.51,0.564,0.79,64.3,42.1,9.46,9.63,6.12,0.483,0,25-34,Female,Upper-Middle,Medical,6.39,Auto-Rickshaw,0
TRIP_000090,Pune,NODE_0019,Railway Station,18.38997,73.815,2025-01-01,Midday (10-16),Weekday,Fog,0.91,11.23,3.0,0.438,0.385,23.0,9.0,3.51,4.74,4.02,0.575,1,25-34,Male,Middle,Shopping/Errand,6.87,Auto-Rickshaw,0
TRIP_000091,Hyderabad,NODE_0023,BRT Stop,17.3231,78.56409,2025-07-29,Night (20-23),Weekend,Clear,1.65,6.73,10.71,0.503,0.448,31.7,22.2,7.14,5.44,4.61,0.405,0,25-34,Female,Middle,Education,7.42,Auto-Rickshaw,0
TRIP_000092,Pune,NODE_0083,Bus Terminal,18.46851,73.92039,2025-07-12,Evening Peak (17-20),Weekday,Clear,1.88,12.74,11.56,0.374,0.262,42.0,26.1,9.2,6.63,5.48,0.464,0,35-44,Female,Low,Work Commute,6.9,Feeder Bus,0
TRIP_000093,Gurugram,NODE_0016,Metro Station,28.5238,76.92434,2025-07-16,Morning Peak (7-10),Weekend,Clear,2.58,13.74,15.41,0.535,0.317,55.5,25.2,5.0,6.16,5.93,0.807,0,25-34,Female,Middle,Medical,8.1,Feeder Bus,0
TRIP_000094,Hyderabad,NODE_0006,Bus Terminal,17.49032,78.45558,2025-01-27,Night (20-23),Weekend,Clear,6.54,13.49,10.16,0.509,0.519,74.8,70.8,5.08,7.1,4.19,0.428,0,18-24,Female,High,Work Commute,5.96,Auto-Rickshaw,0
